attackid,sessionid,repeated,severity,attack,service,srcip,dstip,subtype,eventtype,url
29247,1459472,1,"high","Malicious.Shellcode.Detection","tcp/912",192.168.2.87,192.168.2.92,"ips","signature","http://www.fortinet.com/ids/VID29247"
12449,1459473,1,"critical","Remote.CMD.Shell","tcp/502",192.168.2.92,192.168.2.87,"ips","signature","http://www.fortinet.com/ids/VID12449"
