attackid,sessionid,repeated,severity,attack,service,srcip,dstip,subtype,eventtype,url
52730,5723,1,"high","Omron.PLC.Series.Unrestricted.Lock.DoS","udp/9600",192.168.1.134,192.168.1.135,"ips","signature","http://www.fortinet.com/ids/VID52730"
52730,5723,2,"high","Omron.PLC.Series.Unrestricted.Lock.DoS","udp/9600",192.168.1.134,192.168.1.135,"ips","signature","http://www.fortinet.com/ids/VID52730"
52730,5723,2,"high","Omron.PLC.Series.Unrestricted.Lock.DoS","udp/9600",192.168.1.134,192.168.1.135,"ips","signature","http://www.fortinet.com/ids/VID52730"
