attackid,sessionid,repeated,severity,attack,service,srcip,dstip,subtype,eventtype,url
49331,1459434,1,"high","Inductive.Automation.Ignition.CVE-2022-10644.Code.Execution","HTTP",192.168.2.87,192.168.2.91,"ips","signature","http://www.fortinet.com/ids/VID49331"
12449,1459435,1,"critical","Remote.CMD.Shell","tcp/102",192.168.2.91,192.168.2.87,"ips","signature","http://www.fortinet.com/ids/VID12449"
