attackid,sessionid,repeated,severity,attack,service,srcip,dstip,subtype,eventtype,url
12449,5726,1,"critical","Remote.CMD.Shell","tcp/4444",192.168.1.200,192.168.1.135,"ips","signature","http://www.fortinet.com/ids/VID12449"
12449,5726,1,"critical","Remote.CMD.Shell","tcp/4444",192.168.1.200,192.168.1.135,"ips","signature","http://www.fortinet.com/ids/VID12449"
