attackid,sessionid,repeated,severity,attack,service,srcip,dstip,subtype,eventtype,url
49499,7071,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7073,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7075,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7077,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7079,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7081,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7083,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7085,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7087,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7089,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7091,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7093,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7095,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7097,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7099,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7101,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7103,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7105,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7107,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7109,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7111,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7113,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7115,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7117,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7119,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7121,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7123,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7125,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7127,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7129,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7131,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7133,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7135,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7137,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7139,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7141,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7143,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
