appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
25830	6753	Modbus_Read.Coils	Operational.Technology: Modbus_Read.Coils	elevated	192.168.100.2	192.168.100.3	
48881	6753	Modbus_Func01.Read.Coils.Validation	Operational.Technology: Modbus_Func01.Read.Coils.Validation	elevated	192.168.100.2	192.168.100.3	
25830	6753	Modbus_Read.Coils	Operational.Technology: Modbus_Read.Coils	elevated	192.168.100.2	192.168.100.3	
25830	6753	Modbus_Read.Coils	Operational.Technology: Modbus_Read.Coils	elevated	192.168.100.2	192.168.100.3	
48881	6753	Modbus_Func01.Read.Coils.Validation	Operational.Technology: Modbus_Func01.Read.Coils.Validation	elevated	192.168.100.2	192.168.100.3	
25830	6753	Modbus_Read.Coils	Operational.Technology: Modbus_Read.Coils	elevated	192.168.100.2	192.168.100.3	
16938	6753	Modbus	Operational.Technology: Modbus	elevated	192.168.100.2	192.168.100.3	
