ID_regla	severity_number	Nombre_regla	thread_category	prot	src_ip	dst_ip	log_subtype	extra_data
9999	1		N/A	tcp	192.168.2.87	192.168.2.91	url	192.168.2.91:8088/system/gwinfo
9999	1		N/A	tcp	192.168.2.87	192.168.2.91	url	192.168.2.91:8088/system/gwinfo
