app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
modbus-write-multiple-registers	modbus	6100	ics-protocols	2	tcp	192.168.100.2	192.168.100.3
modbus-read-holding-registers	modbus	6099	ics-protocols	2	tcp	192.168.100.2	192.168.100.3
