app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
mqtt-base	mqtt	5131	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5132	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5133	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5134	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5135	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5136	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5137	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5138	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5139	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5140	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5141	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5142	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5143	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5144	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5145	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5146	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5147	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5148	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5149	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5150	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5151	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5152	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5153	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5154	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5155	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5156	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5157	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5158	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5159	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5160	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5161	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5162	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5163	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5164	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5165	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5166	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5167	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5168	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5169	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5170	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5171	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5172	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5173	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5174	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5175	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5176	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5177	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5178	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5179	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5180	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5181	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5182	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5183	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5184	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5185	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5186	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5187	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5188	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5189	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5190	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5191	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5192	general-business	2	tcp	192.168.1.134	192.168.1.133
