app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
cip-ethernet-ip-send-rr-data	cip-ethernet-ip	6659	ics-protocols	1	tcp	192.168.1.144	192.168.1.133
netbios-ns		6660	infrastructure	2	udp	192.168.1.133	192.168.1.144
snmp-base	snmp	6661	infrastructure	2	udp	192.168.1.144	192.168.1.133
