app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
rpc		1592	infrastructure	2	udp	192.168.1.156	192.168.1.134
rpc		1593	infrastructure	2	udp	192.168.1.156	192.168.1.134
bacnet-complex-ack	bacnet	1594	ics-protocols	1	udp	192.168.1.156	192.168.1.134
