app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
ms-netlogon		23193	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23195	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23196	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23198	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23200	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23202	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23204	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23206	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23208	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23210	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23218	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23216	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23214	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23212	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23145	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23147	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23141	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23137	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23135	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23162	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23160	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23158	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23156	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23154	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23152	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23150	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23148	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23146	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23144	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23142	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23140	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23138	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23136	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23134	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23132	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23131	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23129	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23115	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23121	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23117	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23123	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23119	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23125	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23127	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23111	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23101	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23107	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23109	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23113	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23103	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23105	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23130	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23128	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23126	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23124	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23249	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23247	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23237	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23245	auth-service	2	tcp	192.168.1.135	192.168.1.200
