app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
104apci-unnumbered-stopdt-con	iec-60870-5-104	22691	ics-protocols	1	tcp	192.168.1.129	192.168.1.130
104asdu-system-control-type105	iec-60870-5-104	22690	ics-protocols	1	tcp	192.168.1.129	192.168.1.130
104asdu-system-control-type105	iec-60870-5-104	22689	ics-protocols	1	tcp	192.168.1.129	192.168.1.130
104asdu-system-control-type105	iec-60870-5-104	22688	ics-protocols	1	tcp	192.168.1.129	192.168.1.130
104asdu-system-control-type105	iec-60870-5-104	22687	ics-protocols	1	tcp	192.168.1.129	192.168.1.130
