app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
incomplete		2031	unknown	1	tcp	192.168.1.134	192.168.1.133
incomplete		2032	unknown	1	tcp	192.168.1.134	192.168.1.133
incomplete		2033	unknown	1	tcp	192.168.1.134	192.168.1.133
mqtt-disconnect	mqtt	2034	general-business	2	tcp	192.168.1.134	192.168.1.133
