app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
incomplete		485875	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485882	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485266	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486585	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		484232	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		484294	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486031	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		484259	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486581	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485512	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487506	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485491	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485550	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487575	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487347	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485554	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486195	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486700	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485751	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485686	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		484446	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485721	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485741	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485409	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485471	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487411	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486549	unknown	1	tcp	10.200.1.51	10.200.1.18
incomplete		485696	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486477	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487564	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485420	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486289	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486619	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487407	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		486507	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486014	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		487527	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485959	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486713	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486465	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487549	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487570	unknown	1	tcp	10.200.1.45	10.200.1.18
dns-base	dns	486533	infrastructure	3	tcp	10.200.1.45	10.200.1.18
incomplete		486682	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487496	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485932	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485257	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487561	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		486579	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487704	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485973	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		486631	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487798	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486026	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		485967	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		486047	unknown	1	tcp	10.200.1.45	10.200.1.18
