Nombre del archivo, SIDs distintos sin repetir, Cantidad de SIDs distintos, Número total de alertas, SIDs que no aparecen en la lista, SIDs que aparecen en la lista, Nº total de flujos detectados, Nº de mensajes detectados, Nº de instancias
T0882-DirectoryRead-IEC104_[2]_combined_alerts.txt, "2002749,2002752,2027397,2046160,2046161,2046164,2046165", 7, 11, "2027397,2046160,2046161,2046164,2046165", "2002749,2002752", 3, 9, 11
T0882-DirRead-DNP3-FIXED_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0885-C&Cp102Ignition-TCP_[1]_combined_alerts.txt, "2000419,2002749,2002752,2006408,2006409,2010706,2018358,2025644,2035480", 9, 14, "2000419,2006408,2006409,2010706,2018358,2025644,2035480", "2002749,2002752", 5, 10, 14
T0885-C&Cp20000RWin-TCP_[1]_combined_alerts.txt, "2000419,2002749,2002752,2011976,2025644,2035480", 6, 10, "2000419,2011976,2025644,2035480", "2002749,2002752", 3, 6, 10
T0885-C&Cp502Ignition-HTTP_[1]_combined_alerts.txt, "2000419,2002749,2002752,2006408,2006409,2010706,2018358,2025644,2035480", 9, 15, "2000419,2006408,2006409,2010706,2018358,2025644,2035480", "2002749,2002752", 5, 11, 15
T0885-C&Cp502RWin-TCP_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 2, 2, 4
T0885-C&Cp502RWin-TCP-2_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 2, 2, 4
T0885-C&Cp502RWin-TCP-3_[1]_combined_alerts.txt, "2000419,2002749,2002752,2011976,2025644,2035480", 6, 11, "2000419,2011976,2025644,2035480", "2002749,2002752", 3, 7, 11
T0886-BruteForce-MQTT_[2]_combined_alerts.txt, "2002749,2002752", 2, 2, "", "2002749,2002752", 1, 1, 2
T0888-DiscoverInfo-DNP3_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 2, 2, 4
T0888-DiscverCoils-Modbus_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0888-DiscverFindID-Modbus_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0888-DiscverRegisters2-Modbus_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0888-DiscverRegisters-Modbus_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0888-ScanInfo-ENIP_[2]_combined_alerts.txt, "", 1, 0, "", "", 0, 0, 0
T0888-ScanInfo-MQTT_[2]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0888-ScanInfo-MQTT-noAuth_[2]_combined_alerts.txt, "2002749,2002752,2100527", 3, 5, "", "2002749,2002752,2100527", 2, 3, 5
T0888-ScanInfo-OmronFINS_[2]_combined_alerts.txt, "", 1, 0, "", "", 0, 0, 0
T0888-ScanInfo-OPCUA-Nmap_[2]_combined_alerts.txt, "2002749,2002752,2009582,2018489,2027768,2027770,2100365,2100384,2100408,2100629,2101228,2101390", 12, 69, "2009582,2018489,2027768,2027770,2100365,2100384,2100408,2100629,2101228,2101390", "2002749,2002752", 8, 34, 69
T0888-ScanInfo-OPCUA-OpcScan_[2]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0890-EscalPrivileges-NetLogon-FIXED_[2]_combined_alerts.txt, "2001581,2002749,2002752,2027397,2030870,2030871,2030889,2035260,2035262", 9, 17, "2001581,2027397,2030870,2030871,2030889,2035260,2035262", "2002749,2002752", 9, 11, 17
